experiment,model,weighting,target_transform,n_features,MAE,RMSE,R2,bias,median_absolute_error,max_absolute_error,extreme_mae,extreme_rmse,extreme_bias,positive_mae,n_extreme,n_positive,MAE_change_vs_previous,RMSE_change_vs_previous,R2_change_vs_previous,MAE_change_vs_transform,extreme_MAE_change_vs_transform
Random Forest Target Transform,Random Forest,baseline,log1p_abs,145,1.174900146462242,1.5542084109973777,0.22459070657004665,0.12949624394338505,0.7825929093065846,4.123001726197494,3.192379998433773,3.249442172695656,3.192379998433773,1.3956200502988831,26,15,-0.09359985353775802,-0.05529158900262221,0.056190706570046656,0.056500146462241885,0.30967999843377303
Random Forest Mild Extreme + Transform,Random Forest,mild_extreme,log1p_abs,145,1.2037667999369843,1.5511125325793094,0.2276767560213444,-0.03442410338361273,0.8856085612566028,3.933330265768399,2.904683108141162,2.985423082422599,2.904683108141162,1.515297018731009,26,15,-0.06473320006301564,-0.058387467420690564,0.05927675602134441,0.08536679993698426,0.021983108141162333
Random Forest Moderate Extreme + Transform,Random Forest,moderate_extreme,log1p_abs,145,1.2121704456570934,1.54472907506063,0.2340205226396923,-0.13074653606372316,0.9141339852785801,3.983106185399877,2.7462313836097327,2.8365916620968243,2.7462313836097327,1.5398468381768409,26,15,-0.05632955434290654,-0.06477092493936998,0.06562052263969231,0.09377044565709336,-0.13646861639026708
Random Forest Balanced Extreme + Transform,Random Forest,balanced_extreme,log1p_abs,145,1.196701032149327,1.5447927915953583,0.23395733153994913,-0.05588261260777448,0.895025815343936,4.057047300360161,2.8377860009793974,2.9243369982849967,2.8377860009793974,1.5086371484188175,26,15,-0.07179896785067297,-0.06470720840464161,0.06555733153994914,0.07830103214932693,-0.044913999020602446
Extra Trees Target Transform,Extra Trees,baseline,log1p_abs,145,1.1795814635836281,1.5664830415092168,0.21229448298769948,0.14351686989342488,0.8140019925398545,4.329526998486752,3.2376474412475904,3.298965025777483,3.2376474412475904,1.3653144160183677,26,15,-0.08891853641637182,-0.04301695849078313,0.04389448298769949,0.06118146358362808,0.3549474412475906
Extra Trees Mild Extreme + Transform,Extra Trees,mild_extreme,log1p_abs,145,1.1930538609884491,1.562046121432275,0.2167503713897131,0.05692088105103752,0.8499549748543416,4.197978169553803,3.073648232234625,3.1451958105050575,3.073648232234625,1.454733099116161,26,15,-0.07544613901155084,-0.04745387856772498,0.0483503713897131,0.07465386098844906,0.19094823223462498
Extra Trees Moderate Extreme + Transform,Extra Trees,moderate_extreme,log1p_abs,145,1.2105733947483805,1.5702020364007008,0.2085498523038819,-0.005714816191515417,0.9072603907604181,4.274806694765091,3.000062352550882,3.0790203666286433,3.000062352550882,1.4785130915374514,26,15,-0.05792660525161941,-0.03929796359929916,0.040149852303881906,0.09217339474838049,0.11736235255088223
Extra Trees Balanced Extreme + Transform,Extra Trees,balanced_extreme,log1p_abs,145,1.1916355225703714,1.5554815083366067,0.22331986565611706,0.034578550002509,0.8593401526953698,4.221477008004484,3.016204098728932,3.09412929101765,3.016204098728932,1.444221503156731,26,15,-0.07686447742962854,-0.05401849166339323,0.05491986565611706,0.07323552257037136,0.13350409872893199
HistGradientBoosting Target Transform,HistGradientBoosting,baseline,log1p_abs,145,1.1183501494494805,1.5211449666880201,0.2572311170231022,0.08255316035796106,0.7630286730783834,4.304979485336116,2.882734291372187,3.0646192856523493,2.882734291372187,1.2475056144554544,26,15,-0.15014985055051944,-0.0883550333119798,0.0888311170231022,-4.9850550519536796e-05,3.429137218713407e-05
HistGradientBoosting Mild Extreme + Transform,HistGradientBoosting,mild_extreme,log1p_abs,145,1.0913987635009372,1.4724297454023778,0.3040442031947592,0.0179027634353399,0.7584903566789585,4.222478396352417,2.522013476530226,2.8027034719707493,2.522013476530226,1.296362084738376,26,15,-0.17710123649906273,-0.13707025459762212,0.13564420319475923,-0.02700123649906283,-0.36068652346977403
HistGradientBoosting Moderate Extreme + Transform,HistGradientBoosting,moderate_extreme,log1p_abs,145,1.1061057211023235,1.5091439359894554,0.26890499297175763,-0.017005410055219192,0.7954723187938944,4.193792657627279,2.5135108805345183,2.8057728641794215,2.5135108805345183,1.2502964713372955,26,15,-0.16239427889767644,-0.10035606401054453,0.10050499297175763,-0.012294278897676536,-0.3691891194654815
HistGradientBoosting Balanced Extreme + Transform,HistGradientBoosting,balanced_extreme,log1p_abs,145,1.1039860191371023,1.5127681024544728,0.2653893687484017,0.009199982305678943,0.7422793134427486,4.310081979586215,2.5441611755815083,2.8251178483880497,2.5167738718686286,1.204790573305512,26,15,-0.1645139808628977,-0.09673189754552713,0.0969893687484017,-0.014413980862897802,-0.3385388244184915
