feature,importance
delta_polarity,0.10424243732850902
delta_hydrophobicity,0.10126133813201132
position,0.07783318572123597
new_vs_local_molecular_weight,0.04596041714332379
local_mean_molecular_weight,0.04581157657934632
delta_molecular_weight,0.04449586688639833
local_mean_polarity,0.03559574766630488
new_vs_local_hydrophobicity,0.03178490777250531
original_molecular_weight,0.031080698338898004
new_vs_local_polarity,0.03032638571240708
local_mean_hydrophobicity,0.02816566473806986
new_P,0.02228192998643669
left_2_E,0.01985182100355278
left_1_F,0.018689914462972638
left_1_M,0.014792439803995729
local_polar_fraction,0.013234714013915917
local_small_fraction,0.012539669372643426
new_vs_local_charge,0.012255021627299295
local_mean_charge,0.010858813413840734
original_polarity,0.010694012021165612
left_1_W,0.00995041943989524
left_2_M,0.00981867765213244
original_hydrophobicity,0.009706315803701324
new_polarity,0.009467798558589726
new_C,0.00941785057514037
new_molecular_weight,0.00841189491927607
right_2_A,0.00817196120226844
local_charged_fraction,0.008014890653657451
right_2_T,0.008003218948373077
new_hydrophobicity,0.0070670810012543155
right_1_P,0.007063562619489512
local_hydrophobic_fraction,0.006473758846529781
left_1_T,0.005718706533252774
left_1_S,0.00545548877564108
left_1_D,0.005167019605745158
right_1_M,0.0046214203844128065
right_1_T,0.004308361169108061
delta_charge,0.004298497419746168
original_S,0.0042443062930612
original_C,0.004087930459481812
left_2_L,0.003919077372065476
new_T,0.0038377159330390417
right_1_K,0.0037063271698562295
right_2_V,0.0036730952505326705
left_2_G,0.003579236255875331
left_1_R,0.003426723619998858
right_2_N,0.0032609891965620415
new_Q,0.003084200879199547
left_2_A,0.00305554180989792
right_1_S,0.0030446760801683087
left_1_L,0.00296635153451037
left_1_A,0.0029545017294368347
local_aromatic_fraction,0.002947234249355997
right_1_L,0.0028923297937454183
original_N,0.0027588827237337876
original_D,0.002723620526237151
left_1_G,0.002507397123479672
right_1_N,0.0024824254271365673
right_2_R,0.0023976829492411127
right_2_P,0.002381293882810368
left_2_T,0.0023438218173294396
right_2_K,0.002309869238542707
right_1_D,0.002236776903087154
left_2_D,0.0020892431821611292
right_2_L,0.0020663986075844048
left_2_R,0.001970805662375892
right_1_A,0.0019350735871215459
right_2_Q,0.001882825904335996
left_2_K,0.0018332945766292067
right_2_S,0.001814322024881887
new_S,0.0017974844256571502
left_2_I,0.001786390588074592
original_charge,0.0017737678074925692
left_1_V,0.0016549926985509975
right_2_I,0.0016535963520147425
right_1_E,0.0016463015200155198
right_1_G,0.0016147557672827764
left_1_I,0.0016016530154685474
left_2_P,0.0015925273536375442
left_1_P,0.001588708894580181
right_1_R,0.0015763077018026003
left_2_F,0.001517275783894913
original_G,0.0014968846170683048
right_1_V,0.0014555846463176407
right_2_E,0.001441084659037373
left_2_S,0.001421606883727806
original_T,0.0013790141617405843
new_A,0.0013604692614593366
right_1_I,0.0013473290092439667
left_1_E,0.0012888719821949409
right_2_M,0.0012734598588238374
new_H,0.0012709939609662233
left_2_N,0.0012514470138038664
new_K,0.0012083424253871845
original_P,0.001158110882383373
new_F,0.0011229899658124684
new_N,0.0011225278889401748
new_charge,0.0010222336434672693
right_2_D,0.0010021084791785415
new_L,0.0009900449964296268
right_2_C,0.0009883934411552807
right_2_G,0.0009253058362337494
original_L,0.0008649649478457494
left_1_C,0.0008610072517694171
left_2_Y,0.0008529450740094111
right_1_C,0.0008112379404956649
new_E,0.0007824173655290493
original_F,0.0007770756901686959
new_Y,0.0007619565180029133
right_1_H,0.0007246538005557401
left_1_Y,0.0006933279592241548
left_2_V,0.0006908318200598284
left_2_H,0.0006793486931968522
left_1_H,0.0006770237306645171
new_V,0.0006720086421625224
original_A,0.0006708651342458449
left_1_N,0.0006422931476204576
left_2_Q,0.0006400427197649043
original_R,0.0006320236428985055
right_2_F,0.0006245686804151894
new_W,0.0006201918263030447
left_2_C,0.000577083670466484
right_2_Y,0.0005422526543875999
right_2_W,0.0005327996725694249
new_G,0.0005082150051626002
left_1_Q,0.00047484689191199366
original_I,0.0004735861091595588
original_E,0.00046016861369186165
right_1_F,0.000436931244557931
original_V,0.00042702467627975016
new_D,0.00042632694831167857
new_I,0.0003873237635087034
original_M,0.0003759618029060716
left_1_K,0.000341677411787205
right_2_H,0.00032236409178837866
original_K,0.0003148204904981412
right_1_W,0.000297071971448541
left_2_W,0.0002565021925020175
right_1_Y,0.0002552215532827127
right_1_Q,0.0002456408347316185
original_W,0.00023170901302055222
original_H,0.00021952840709833383
new_R,0.00021171375928206684
original_Y,0.00018701032951557256
new_M,9.96623307491192e-05
original_Q,7.774885808449277e-05
