MAE,RMSE,R2,bias,median_absolute_error,max_absolute_error,extreme_mae,positive_mae,n_samples,n_extreme,n_positive,repeat,fold,train_samples,valid_samples,train_positions,valid_positions
1.4744830923304968,1.9682766607285622,-0.04305772085297055,0.3149977205292077,1.0628775122974867,5.34967814991774,2.914650299352387,0.9852364910135101,159,30,4,1,1,629,159,168,42
1.4844238712768534,2.0241831797574905,-0.062208989629467304,0.21157867979359424,1.0715268121724404,5.113702015952137,3.3024033093956375,1.5118491418130027,156,28,6,1,2,632,156,168,42
1.520723381589407,1.9947983566701988,0.06515956822393965,0.2544021809455904,1.0992134576296813,5.622012163037551,2.924795599022006,1.5499822107981958,158,33,12,1,3,630,158,168,42
1.395382371933196,1.9438848569342053,-0.005513262215027792,0.2173861247820785,0.8565427232192021,5.26438258657159,3.278917421512239,1.1300467644446421,166,28,7,1,4,622,166,168,42
1.5209869701402128,1.9950458252387158,0.03804833688419995,0.4191388958246871,1.130043591127849,4.988683183538074,3.2955030518552175,1.224580084317989,149,32,10,1,5,639,149,168,42
1.5131777697610789,2.0361328453523684,0.07362450093265427,0.9006978836193373,1.1340526002565074,5.305673645960707,3.0302736606901663,1.0717465575947573,159,43,8,2,1,629,159,168,42
1.4505421617693062,1.994464863940994,-0.11647077477967427,0.3243875336590059,0.9806308338422292,5.6113198411633,3.373862675903067,1.3272269480544818,164,27,8,2,2,624,164,168,42
1.2990450392753459,1.8085200008850582,0.0713546053111751,0.002313418281039807,0.8784440972397074,5.433586424150611,3.3259867217542523,1.345095991318959,159,25,8,2,3,629,159,168,42
1.6089706716123042,2.105557163912479,-0.10309932077818451,0.07269045835495258,1.1602591339899326,5.046081126752236,3.0148785034506145,1.2607478752038548,148,29,6,2,4,640,148,168,42
1.3635497830672965,1.7939235550568227,0.1626045193513983,0.25660264709649616,1.0579783945077756,4.701948196669314,2.934987153238003,1.527498936864396,158,27,9,2,5,630,158,168,42
1.3811916637171855,1.848225799736427,0.07142860503469828,0.09987154715418091,0.9451825534743196,5.2391093269738445,2.6594048567147017,1.2819856836123207,166,26,8,3,1,622,166,168,42
1.3165504594573312,1.754379808224597,0.2111739746707142,0.12497444454800045,0.8853879522682392,4.84920261843742,2.6801341649374164,1.057911007342941,147,27,8,3,2,641,147,168,42
1.660848162376457,2.187190032789645,-0.1345149384440001,0.6744951618941617,1.2113551269544214,5.366788881440715,3.623272175492986,1.4039254204651017,151,33,5,3,3,637,151,168,42
1.471971731826306,1.8978489224188417,0.0827623575607126,0.14550385682060613,1.2523679925374185,5.083759400954561,2.9362349038787805,1.4267581460336758,161,33,13,3,4,627,161,168,42
1.5434055756276386,2.210564191821564,-0.23468807361030342,0.5761747207992548,0.8968995676137942,5.40507858162648,3.9603422026902315,0.8884906823286645,163,32,5,3,5,625,163,168,42
