repeat,fold,method,mean_baseline_value,median_baseline_value,n,MAE,RMSE,R2,bias,median_abs_error,max_abs_error,extreme_n,positive_n,extreme_MAE,positive_MAE
1,1,locked_hgb,-1.5975646791128775,-0.666666667,159,1.4744830923304968,1.9682766607285622,-0.04305772085297055,0.3149977205292077,1.0628775122974867,5.34967814991774,30,4,2.914650299352387,0.9852364910135101
1,1,mean_baseline,-1.5975646791128775,-0.666666667,159,1.665326077573237,1.9361495974252436,-0.009285135303960246,0.18570606602548737,1.5975646791128775,3.7243633208871225,30,4,3.4632522097871226,1.8683980123628774
1,1,median_baseline,-1.5975646791128775,-0.666666667,159,1.6317882653207547,2.2273287112517757,-0.3356869637561113,1.1166040781383653,0.666666667,4.6552613329999994,30,4,4.3941502219,0.9375000002499999
1,2,locked_hgb,-1.6586468615427217,-0.7801377145000001,156,1.4844238712768534,2.0241831797574905,-0.062208989629467304,0.21157867979359424,1.0715268121724404,5.113702015952137,28,6,3.3024033093956375,1.5118491418130027
1,2,mean_baseline,-1.6586468615427217,-0.7801377145000001,156,1.6893517881787163,1.9676330305510887,-0.0036875984378768045,-0.1192659952350294,1.6586468615427217,3.663281138457278,28,6,3.5535872609215637,2.2558690837093884
1,2,median_baseline,-1.6586468615427217,-0.7801377145000001,156,1.5113042729102564,2.1056603545831267,-0.14944180895363401,0.7592431518076921,0.7801377145000001,4.541790285499999,28,6,4.432096407964285,1.377359936666667
1,3,locked_hgb,-1.6279988828111112,-0.7968043810000001,158,1.520723381589407,1.9947983566701988,0.06515956822393965,0.2544021809455904,1.0992134576296813,5.622012163037551,33,12,2.924795599022006,1.5499822107981958
1,3,mean_baseline,-1.6279988828111112,-0.7968043810000001,158,1.7969804656514767,2.0634458853336985,-0.00028936496811216017,0.03509564546736983,1.6279988828111112,3.6939291171888886,33,12,3.5424139656737372,1.9925822160611115
1,3,median_baseline,-1.6279988828111112,-0.7968043810000001,158,1.6060284703924048,2.237640685329432,-0.17630565145379662,0.8662901472784809,0.7968043810000001,4.5251236189999995,33,12,4.373608467484848,1.16138771425
1,4,locked_hgb,-1.683423772715434,-1.0,166,1.395382371933196,1.9438848569342053,-0.005513262215027792,0.2173861247820785,0.8565427232192021,5.26438258657159,28,7,3.278917421512239,1.1300467644446421
1,4,mean_baseline,-1.683423772715434,-1.0,166,1.7212545750434856,1.9521092117560515,-0.014039684848062617,-0.22969699554675937,1.683423772715434,3.6385042272845656,28,7,3.504575655855995,2.1358047248582914
1,4,median_baseline,-1.683423772715434,-1.0,166,1.466682668385542,1.9909388873542797,-0.054781705729272545,0.4537267771686746,1.0,4.321928,28,7,4.187999428571429,1.4523809521428572
1,5,locked_hgb,-1.6084053898262909,-0.666666667,149,1.5209869701402128,1.9950458252387158,0.03804833688419995,0.4191388958246871,1.130043591127849,4.988683183538074,32,10,3.2955030518552175,1.224580084317989
1,5,mean_baseline,-1.6084053898262909,-0.666666667,149,1.7433582105363772,2.0389883002401414,-0.004793844992326823,0.14083747956968232,1.6084053898262909,3.713522610173709,32,10,3.492168443517459,1.9665872080262907
1,5,median_baseline,-1.6084053898262909,-0.666666667,149,1.6531321940469799,2.3042589539499954,-0.283246433760157,1.082576202395973,0.666666667,4.6552613329999994,32,10,4.433907166343749,1.0248484852
2,1,locked_hgb,-1.5143395206899841,-0.610160667,159,1.5131777697610789,2.0361328453523684,0.07362450093265427,0.9006978836193373,1.1340526002565074,5.305673645960707,43,8,3.0302736606901663,1.0717465575947573
2,1,mean_baseline,-1.5143395206899841,-0.610160667,159,1.9033953786317606,2.1984393917130207,-0.07995046351277746,0.5981678574546698,1.5143395206899841,3.8075884793100157,43,8,3.536547504798389,1.8789228539399843
2,1,median_baseline,-1.5143395206899841,-0.610160667,159,1.9713734571320756,2.594682372436126,-0.504330440347494,1.502346711144654,0.943494,4.711767333,43,8,4.440726358488373,0.9747440002500001
2,2,locked_hgb,-1.6973546740240384,-1.0,164,1.4505421617693062,1.994464863940994,-0.11647077477967427,0.3243875336590059,0.9806308338422292,5.6113198411633,27,8,3.373862675903067,1.3272269480544818
2,2,mean_baseline,-1.6973546740240384,-1.0,164,1.6538307163520174,1.9111712791709843,-0.02516506975982824,-0.2994344603167213,1.6973546740240384,3.6245733259759616,27,8,3.4517338197907756,2.2806880072740383
2,2,median_baseline,-1.6973546740240384,-1.0,164,1.3874527340243903,1.9290555095123019,-0.044441282344532596,0.397920213707317,1.0,4.321928,27,8,4.149088493814815,1.5833333332500001
2,3,locked_hgb,-1.7097231686868044,-1.0,159,1.2990450392753459,1.8085200008850582,0.0713546053111751,0.002313418281039807,0.8784440972397074,5.433586424150611,25,8,3.3259867217542523,1.345095991318959
2,3,mean_baseline,-1.7097231686868044,-1.0,159,1.68772314117696,1.9128695081618865,-0.03890052549832412,-0.3701485867056723,1.7097231686868044,3.6122048313131954,25,8,3.422204831313195,2.113889835311804
2,3,median_baseline,-1.7097231686868044,-1.0,159,1.4059037979056603,1.9071892081655015,-0.03273961941665293,0.339574581981132,1.0,4.321928,25,8,4.131927999999999,1.4041666666250001
2,4,locked_hgb,-1.6253228096359376,-0.7551377145,148,1.6089706716123042,2.105557163912479,-0.10309932077818451,0.07269045835495258,1.1602591339899326,5.046081126752236,29,6,3.0148785034506145,1.2607478752038548
2,4,mean_baseline,-1.6253228096359376,-0.7551377145,148,1.7169775640944678,2.005414641550436,-0.0006654537460910603,0.051715254364062414,1.6253228096359376,3.696605190364062,29,6,3.593156914501994,1.9447672539692709
2,4,median_baseline,-1.6253228096359376,-0.7551377145,148,1.5515712420472973,2.206561504109765,-0.21146987238483073,0.9219003495000001,0.7551377145,4.5667902855,29,6,4.463342009637932,1.0745821588333333
2,5,locked_hgb,-1.6291136193333335,-0.75,158,1.3635497830672965,1.7939235550568227,0.1626045193513983,0.25660264709649616,1.0579783945077756,4.701948196669314,27,9,2.934987153238003,1.527498936864396
2,5,mean_baseline,-1.6291136193333335,-0.75,158,1.6918537930063289,1.9605951011130336,-0.00022700125930064097,0.029536073445147533,1.6291136193333335,3.6928143806666665,27,9,3.594048948592592,1.9687600838888892
2,5,median_baseline,-1.6291136193333335,-0.75,158,1.5846960099556957,2.1607186385691906,-0.21484028315240122,0.9086496927784811,0.75,4.571928,27,9,4.473162567925926,1.0896464645555557
3,1,locked_hgb,-1.6838228410048233,-0.9166666665000001,166,1.3811916637171855,1.848225799736427,0.07142860503469828,0.09987154715418091,0.9451825534743196,5.2391093269738445,26,8,2.6594048567147017,1.2819856836123207
3,1,mean_baseline,-1.6838228410048233,-0.9166666665000001,166,1.6882876623874015,1.9319259328074796,-0.014579746739959543,-0.23159136790843768,1.6838228410048233,3.6381051589951765,26,8,3.5099000308028683,2.350489507629823
3,1,median_baseline,-1.6838228410048233,-0.9166666665000001,166,1.4543187868975904,1.9913645849590107,-0.07797031799391574,0.5355648065963855,0.9166666665000001,4.4052613334999995,26,8,4.277056205307691,1.5833333331250001
3,2,locked_hgb,-1.6717382400015601,-1.0,147,1.3165504594573312,1.754379808224597,0.2111739746707142,0.12497444454800045,0.8853879522682392,4.84920261843742,27,8,2.6801341649374164,1.057911007342941
3,2,mean_baseline,-1.6717382400015601,-1.0,147,1.7667333923951627,1.9850736994785554,-0.009920669747815358,-0.1967449080423765,1.6717382400015601,3.6501897599984394,27,8,3.4001897599984394,1.97382157312656
3,2,median_baseline,-1.6717382400015601,-1.0,147,1.5466918526258502,2.0316071714104975,-0.057824117855941326,0.47499333195918364,1.0,4.321928,27,8,4.071928,1.3020833331250001
3,3,locked_hgb,-1.5766797742087912,-0.666666667,151,1.660848162376457,2.187190032789645,-0.1345149384440001,0.6744951618941617,1.2113551269544214,5.366788881440715,33,5,3.623272175492986,1.4039254204651017
3,3,mean_baseline,-1.5766797742087912,-0.666666667,151,1.7648674824103783,2.0758961216420393,-0.021994168058018015,0.3045335732614074,1.5766797742087912,3.7452482257912085,33,5,3.6139350944881783,2.110013107408791
3,3,median_baseline,-1.5766797742087912,-0.666666667,151,1.7461140096754963,2.385734195095145,-0.3498368913303511,1.2145466804701988,0.666666667,4.6552613329999994,33,5,4.523948201696968,1.2000000002
3,4,locked_hgb,-1.6195498414976075,-0.666666667,161,1.471971731826306,1.8978489224188417,0.0827623575607126,0.14550385682060613,1.2523679925374185,5.083759400954561,33,13,2.9362349038787805,1.4267581460336758
3,4,mean_baseline,-1.6195498414976075,-0.666666667,161,1.6923892174372788,1.9830704896779967,-0.0014629752236754445,0.07579476111108802,1.6195498414976075,3.702378158502392,33,13,3.4704156765629985,1.9123820092668387
3,4,median_baseline,-1.6195498414976075,-0.666666667,161,1.5751825701552793,2.2327118077414316,-0.26947435646014983,1.0286779356086957,0.666666667,4.6552613329999994,33,13,4.423298851060606,0.9594988347692307
3,5,locked_hgb,-1.623853025312,-0.7602754290000001,163,1.5434055756276386,2.210564191821564,-0.23468807361030342,0.5761747207992548,0.8968995676137942,5.40507858162648,32,5,3.9603422026902315,0.8884906823286645
3,5,mean_baseline,-1.623853025312,-0.7602754290000001,163,1.713067945861448,1.9901453695858649,-0.0007384642251879736,0.054061642289226955,1.623853025312,3.6980749746879997,32,5,3.5522416413442497,1.937186358712
3,5,median_baseline,-1.623853025312,-0.7602754290000001,163,1.5633574382822084,2.1908486262491276,-0.212762430760991,0.9176392386012268,0.7602754290000001,4.561652571,32,5,4.415819237656249,1.0736087624000001
