experiment,model,weighting,target_transform,n_features,MAE,RMSE,R2,bias,median_absolute_error,max_absolute_error,extreme_mae,extreme_rmse,extreme_bias,positive_mae,n_extreme,n_positive
Random Forest Baseline,Random Forest,baseline,none,145,1.2876141041744045,1.5822343595223003,0.1963737493651032,-0.3431370353864774,1.0589531627819546,3.794758325892364,2.554017656932884,2.634349207771815,2.554017656932884,1.8095052696123675,26,15
Random Forest Mild Extreme,Random Forest,mild_extreme,none,145,1.373526264862885,1.6565266042485873,0.11913506480219227,-0.562697401689336,1.1637623680334408,3.817095902046844,2.2463698146656785,2.3526869339172825,2.2463698146656785,1.9656149817553712,26,15
Random Forest Moderate Extreme,Random Forest,moderate_extreme,none,145,1.4238229371299467,1.7121482045951453,0.05898791377223889,-0.7103550633574448,1.268244070398886,4.037557177213068,2.073013790807577,2.190382334512206,2.073013790807577,2.0978550931480506,26,15
Random Forest Balanced Extreme,Random Forest,balanced_extreme,none,145,1.3903386727280425,1.6807974058573767,0.09313376940736706,-0.6213461186754047,1.205399833178232,3.930412869685712,2.16297304529195,2.275981222610684,2.16297304529195,2.022872863889916,26,15
Extra Trees Baseline,Extra Trees,baseline,none,145,1.3196283397401634,1.6088483732650085,0.16911154728175648,-0.3262575994637734,1.114444049435151,3.809668577046942,2.6485873981979,2.731647882973359,2.6485873981979,1.812958017301231,26,15
Extra Trees Mild Extreme,Extra Trees,mild_extreme,none,145,1.3668346444839148,1.642936784864241,0.13352866682706144,-0.4658030862984942,1.1497106554523873,3.858203002358228,2.427928969540084,2.5320498323887612,2.427928969540084,1.9272136376900457,26,15
Extra Trees Moderate Extreme,Extra Trees,moderate_extreme,none,145,1.3885507793699392,1.676859001931717,0.09737868442239639,-0.5488149192233525,1.2290398570652388,4.073186317084005,2.312540704553064,2.4294164298320093,2.312540704553064,1.990829193919816,26,15
HistGradientBoosting Baseline,HistGradientBoosting,baseline,none,145,1.2370152220396367,1.5898382179005977,0.1886310993797512,-0.24626707419669874,0.8904164023807406,4.146998927356959,2.522147801628754,2.696937481682909,2.522147801628754,1.5562430413422967,26,15
HistGradientBoosting Mild Extreme,HistGradientBoosting,mild_extreme,none,145,1.2810871502229166,1.6455866117286564,0.13073141911865016,-0.3475441010051523,0.9826312659350696,4.347071380573951,2.2883537670057503,2.5346833994190776,2.2883537670057503,1.7678131409173272,26,15
Random Forest Target Transform,Random Forest,baseline,log1p_abs,145,1.174900146462242,1.5542084109973777,0.22459070657004665,0.12949624394338505,0.7825929093065853,4.123001726197494,3.192379998433773,3.2494421726956557,3.192379998433773,1.395620050298883,26,15
Extra Trees Target Transform,Extra Trees,baseline,log1p_abs,145,1.1795814635836281,1.5664830415092168,0.2122944829876996,0.1435168698934249,0.8140019925398534,4.329526998486752,3.2376474412475904,3.2989650257774836,3.2376474412475904,1.3653144160183674,26,15
HistGradientBoosting Target Transform,HistGradientBoosting,baseline,log1p_abs,145,1.1183501494494805,1.5211449666880201,0.2572311170231022,0.08255316035796106,0.7630286730783834,4.304979485336116,2.882734291372187,3.0646192856523493,2.882734291372187,1.2475056144554544,26,15
